,Name,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals (xG),Expected Assist Goals (xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals Against per 90 (GA90),Save Percentage (Save%),Clean Sheets Percentage (CS%),Penalty Kicks Save Percentage,Shots on Target Percentage (SoT%),Shots on Target per 90 (SoT/90),Goals per Shot (G/Sh),Average Shot Distance (Dist),Passes Completed (Cmp),Pass Completion Percentage (Cmp%),Total Passing Distance (TotDist),Short Pass Completion Percentage,Medium Pass Completion Percentage,Long Pass Completion Percentage,Key Passes (KP),Passes into Final Third (1/3),Passes into Penalty Area (PPA),Crosses into Penalty Area (CrsPA),Shot-Creating Actions (SCA),SCA per 90,Goal-Creating Actions (GCA),GCA per 90,Tackles (Tkl),Tackles Won (TklW),Challenges (Tkl),Challenges Lost (TklD),Blocks,Blocked Shots (Sh),Blocked Passes (Pass),Interceptions (Int),Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Take-Ons (Att),Take-On Success Percentage (Succ%),Take-On Tackled Percentage (Tkl%),Carries,Progressive Carrying Distance (TotDist),Carries into Final Third (1/3),Carries into Penalty Area (CPA),Miscontrols (Mis),Dispossessed (Dis),Passes Received (Rec),Fouls Committed (Fls),Fouls Drawn (Fld),Offsides (Off),Crosses (Crs),Ball Recoveries (Recov),Aerials Won (Won),Aerials Lost (Lost),Aerials Won Percentage (Won%),market_value,rating
0,Aaron Ramsdale,ENG,Southampton,GK,26,27,27,2430.0,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.30,67.1,7.4,28.6,,0.0,,,715,64.6,20052,99.5,96.2,38.6,0,33,1,0,3,0.11,0,0.0,0,0,2,2,0,0,0,2,1189,860,1166,26,0,0,0,,,723,2159,0,0,3,0,646,1,4,0,0,20,5,0,100.0,€18.7M,67.3/71.5
1,Aaron Wan-Bissaka,ENG,West Ham,DF,27,33,32,2884.0,2,3,1,0,1.2,3.2,101,132,150,0.06,0.09,0.04,0.1,N/a,N/a,N/a,N/a,31.3,0.16,0.13,15.1,1321,80.5,18817,89.9,81.1,46.0,30,89,32,11,85,2.65,8,0.25,64,45,27,7,32,9,23,60,2039,136,628,877,564,44,108,52.8,34.3,961,3383,59,13,31,21,1174,22,25,4,70,163,22,30,42.3,€26.9M,74.4/75.0
2,Abdoulaye Doucouré,MLI,Everton,MF,32,30,29,2425.0,3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,N/a,N/a,N/a,N/a,31.0,0.33,0.1,13.8,676,79.6,10229,85.1,83.1,72.7,26,44,14,0,54,2.0,2,0.07,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,1339,24,8,33,35,705,46,5,10,23,139,29,43,40.3,€5.8M,69.1/69.1
3,Adam Smith,ENG,Bournemouth,DF,34,22,17,1409.0,0,0,6,0,0.7,0.3,12,40,31,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,16.9,436,75.7,7088,88.0,78.1,37.5,7,41,8,5,20,1.28,2,0.13,21,10,25,13,12,5,7,14,707,39,217,332,162,6,15,40.0,40.0,305,585,15,0,10,6,333,15,11,0,30,43,12,13,48.0,€1.5M,68.5/68.7
4,Adam Wharton,ENG,Crystal Palace,MF,20,20,16,1318.0,0,2,2,0,0.4,3.0,14,107,11,0.0,0.14,0.03,0.21,N/a,N/a,N/a,N/a,38.5,0.34,0.0,25.4,548,75.6,10271,82.5,80.1,65.4,26,78,18,5,59,4.03,6,0.41,34,14,44,27,11,2,9,20,871,30,204,462,212,11,10,20.0,80.0,430,1078,23,2,17,13,533,12,21,0,39,102,7,16,30.4,€48.9M,68.1/81.3
5,Adama Traoré,ESP,Fulham,"FW,MF",29,33,16,1592.0,2,6,3,0,3.9,4.7,89,61,145,0.11,0.34,0.22,0.27,N/a,N/a,N/a,N/a,29.7,0.62,0.05,14.3,386,72.0,6023,81.4,73.4,55.1,38,32,33,18,76,4.3,9,0.51,17,12,13,8,7,0,7,1,737,4,75,260,424,88,93,50.5,37.6,490,2268,42,33,34,21,556,20,29,1,92,78,24,26,48.0,€8M,68.7/68.7
6,Alejandro Garnacho,ARG,Manchester Utd,"MF,FW",20,34,23,2146.0,6,2,3,0,7.2,4.5,139,56,281,0.25,0.08,0.3,0.19,N/a,N/a,N/a,N/a,34.9,1.22,0.07,17.2,635,79.1,8921,88.6,82.9,60.0,35,21,24,4,81,3.4,6,0.25,29,18,36,24,19,0,19,13,1132,13,128,360,662,170,87,29.9,60.9,819,3176,72,66,63,48,864,12,41,10,52,108,3,23,11.5,€60.7M,70.9/87.1
7,Alex Iwobi,NGA,Fulham,"FW,MF",29,35,33,2796.0,9,6,1,0,4.6,6.9,135,199,224,0.29,0.19,0.15,0.22,N/a,N/a,N/a,N/a,44.4,0.9,0.14,18.2,1057,74.4,18132,85.8,77.7,53.8,56,107,78,17,115,3.7,16,0.52,39,23,30,11,25,1,24,13,1724,31,228,691,831,109,87,49.4,44.8,1218,4098,102,37,55,38,1345,17,17,5,120,126,6,31,16.2,€30.3M,76.3/76.3
8,Alex Palmer,ENG,Ipswich Town,GK,28,11,11,990.0,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.45,58.7,0.0,0.0,,0.0,,,241,67.7,7340,95.8,100.0,43.8,1,7,0,0,2,0.18,0,0.0,0,0,0,0,0,0,0,0,400,334,393,8,0,0,0,,,180,604,0,0,1,0,132,1,2,0,0,15,4,0,100.0,€1.6M,64.4/67.5
9,Alexander Isak,SWE,Newcastle Utd,FW,25,32,32,2577.0,23,6,1,0,19.9,4.3,81,80,200,0.8,0.21,0.69,0.15,N/a,N/a,N/a,N/a,42.0,1.29,0.22,14.6,479,74.5,6849,83.8,77.4,63.2,41,33,26,1,89,3.11,14,0.49,12,5,13,8,18,2,16,3,960,20,55,361,558,178,88,47.7,50.0,574,1782,41,43,62,52,681,25,13,20,15,55,26,52,33.3,€120.3M,82.0/84.9
