Name,Cluster,UMAP1,UMAP2,Progressive Carries (PrgC),Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals Against per 90 (GA90),Save Percentage (Save%),Clean Sheets Percentage (CS%),Penalty Kicks Save Percentage,Shots on Target Percentage (SoT%),Shots on Target per 90 (SoT/90),Goals per Shot (G/Sh),Average Shot Distance (Dist),Pass Completion Percentage (Cmp%),Key Passes (KP),Passes into Final Third (1/3),Passes into Penalty Area (PPA),Shot-Creating Actions (SCA),SCA per 90,Goal-Creating Actions (GCA),GCA per 90,Tackles Won (TklW),Challenges (Tkl),Challenges Lost (TklD),Blocked Shots (Sh),Interceptions (Int),Touches in Attacking Third,Take-On Success Percentage (Succ%),Take-On Tackled Percentage (Tkl%),Carries,Progressive Carrying Distance (TotDist),Carries into Final Third (1/3),Carries into Penalty Area (CPA),Passes Received (Rec),Progressive Passes Received (PrgR),Offsides (Off),Crosses (Crs),Ball Recoveries (Recov),Aerials Won Percentage (Won%)
Aaron Cresswell,0,8.343784,6.44502,4,0.0,0.0,0.01,0.15,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,29.8,81.5,7,43,4,12,1.6,0,0.0,5,9,2,4,8,73,50.0,50.0,228,398,7,0,353,2,0,28,29,53.8
Aaron Ramsdale,0,10.306318,7.906956,0,0.0,0.0,0.0,0.0,2.3,67.1,7.4,28.6,30.0,0.0,0.06,16.4,64.6,0,33,1,3,0.11,0,0.0,0,2,2,0,2,0,45.0,43.8,723,2159,0,0,646,0,0,0,20,100.0
Aaron Wan-Bissaka,1,4.372337,2.3594117,101,0.06,0.09,0.04,0.1,1.4849999999999999,68.15,17.9,0.0,31.3,0.16,0.13,15.1,80.5,30,89,32,85,2.65,8,0.25,45,27,7,9,60,564,52.8,34.3,961,3383,59,13,1174,150,4,70,163,42.3
Abdoulaye Doucouré,1,5.6971536,3.1354268,40,0.11,0.04,0.14,0.09,1.4849999999999999,68.15,17.9,0.0,31.0,0.33,0.1,13.8,79.6,26,44,14,54,2.0,2,0.07,27,39,26,6,9,385,53.5,46.5,571,1339,24,8,705,91,10,23,139,40.3
Abdukodir Khusanov,0,8.238672,7.2393484,1,0.0,0.0,0.0,0.02,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,23.9,91.1,2,23,0,5,0.89,0,0.0,4,3,1,4,3,31,0.0,100.0,274,435,1,0,332,2,0,1,27,60.0
Abdul Fatawu Issahaku,2,6.1279364,5.499489,42,0.0,0.31,0.06,0.24,1.4849999999999999,68.15,17.9,0.0,38.5,0.78,0.0,31.2,62.4,6,7,7,17,2.64,3,0.47,15,19,8,0,4,157,42.0,40.6,217,1055,24,15,216,60,2,30,38,51.9
Adam Armstrong,2,5.663767,6.5867457,25,0.14,0.14,0.24,0.09,1.4849999999999999,68.15,17.9,0.0,28.0,0.5,0.08,16.6,80.2,9,10,8,19,1.37,4,0.29,3,14,11,1,3,192,42.9,57.1,235,599,13,6,286,79,9,14,23,35.7
Adam Lallana,2,6.654511,5.707575,6,0.0,0.5,0.04,0.23,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,18.1,85.0,4,21,9,9,2.24,2,0.5,5,12,10,1,5,73,41.7,41.7,178,366,8,0,245,10,0,4,19,50.0
Adam Smith,0,8.445616,5.4611263,12,0.0,0.0,0.04,0.02,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,16.9,75.7,7,41,8,20,1.28,2,0.13,10,25,13,5,14,162,40.0,40.0,305,585,15,0,333,31,0,30,43,48.0
Adam Webster,0,9.560686,6.2355404,7,0.0,0.0,0.0,0.07,1.4849999999999999,68.15,17.9,0.0,100.0,0.15,0.0,15.3,85.6,3,32,2,10,1.46,3,0.44,5,11,6,9,14,22,33.3,66.7,326,1142,2,0,384,2,1,1,20,81.0
