Player,UMAP1,UMAP2
Aaron Cresswell,8.343784,6.44502
Aaron Ramsdale,10.306318,7.906956
Aaron Wan-Bissaka,4.372337,2.3594117
Abdoulaye Doucouré,5.6971536,3.1354268
Abdukodir Khusanov,8.238672,7.2393484
Abdul Fatawu Issahaku,6.1279364,5.499489
Adam Armstrong,5.663767,6.5867457
Adam Lallana,6.654511,5.707575
Adam Smith,8.445616,5.4611263
Adam Webster,9.560686,6.2355404
Adam Wharton,6.3478804,3.735927
Adama Traoré,1.8654135,3.113548
Albert Grønbaek,8.245813,7.2588043
Alejandro Garnacho,1.4711264,2.6490848
Alex Iwobi,1.8153509,2.320832
Alex McCarthy,9.9560995,7.923816
Alex Palmer,10.014196,8.012662
Alex Scott,6.961611,4.611897
Alexander Isak,3.498465,6.1357956
Alexis Mac Allister,4.05422,1.9654536
Ali Al Hamadi,7.7255745,6.780908
Alisson,10.696295,7.095387
Alphonse Areola,9.92124,7.6649537
Altay Bayındır,10.053568,8.033517
Amad Diallo,1.5548083,2.7447019
Amadou Onana,7.907439,3.559919
Andreas Pereira,2.778244,3.1512542
Andrew Robertson,4.7317224,2.6144516
André,6.040241,2.2245405
André Onana,10.607448,7.736571
Andrés García,8.282966,7.0639224
Andy Irving,10.195947,6.3690324
Anthony Elanga,1.5054413,2.5763516
Anthony Gordon,1.5998415,2.5226812
Antoine Semenyo,1.5854434,2.4437687
Antonee Robinson,4.185578,2.2431612
Antony,6.337927,7.049005
Antonín Kinský,9.867189,7.759219
Archie Gray,9.56294,6.2842407
Arijanet Muric,9.758901,7.62809
Armando Broja,8.3359,6.642452
Armel Bella Kotchap,8.305091,7.2786007
Ashley Young,6.42719,3.4489667
Axel Disasi,8.477446,6.3176203
Axel Disasi,8.266343,4.0212474
Axel Tuanzebe,8.863031,5.4969087
Ayden Heaven,10.4474,6.424097
Bart Verbruggen,10.57375,6.7705517
Ben Brereton,8.187608,6.674445
Ben Chilwell,6.7480183,6.8468986
Ben Davies,10.371491,5.629042
Ben Godfrey,9.671272,7.3479676
Ben Johnson,6.9498806,3.784633
Ben Mee,9.235558,7.0531387
Ben White,8.471591,5.7609525
Benoît Badiashile,8.345147,7.39284
Bernardo Silva,4.213931,2.5491507
Bernd Leno,10.044584,7.356606
Beto,4.547837,6.779263
Bilal El Khannouss,5.096812,3.4593382
Billy Gilmour,8.304498,6.6487584
Bobby De Cordova-Reid,6.374444,6.4972844
